Tokenized_Sentence,Tagged_Sentence
"``	This	is	one	of	the	major	items	in	the	Fulton	County	general	assistance	program	''	,	the	jury	said	,	but	the	State	Welfare	Department	``	has	seen	fit	to	distribute	these	funds	through	the	welfare	departments	of	all	the	counties	in	the	state	with	the	exception	of	Fulton	County	,	which	receives	none	of	this	money	.",.	DET	VERB	NUM	ADP	DET	ADJ	NOUN	ADP	DET	NOUN	NOUN	ADJ	NOUN	NOUN	.	.	DET	NOUN	VERB	.	CONJ	DET	NOUN	NOUN	NOUN	.	VERB	VERB	ADJ	PRT	VERB	DET	NOUN	ADP	DET	NOUN	NOUN	ADP	PRT	DET	NOUN	ADP	DET	NOUN	ADP	DET	NOUN	ADP	NOUN	NOUN	.	DET	VERB	NOUN	ADP	DET	NOUN	.
The	jurors	said	they	realize	``	a	proportionate	distribution	of	these	funds	might	disable	this	program	in	our	less	populous	counties	''	.,DET	NOUN	VERB	PRON	VERB	.	DET	ADJ	NOUN	ADP	DET	NOUN	VERB	VERB	DET	NOUN	ADP	DET	ADV	ADJ	NOUN	.	.
"Nevertheless	,	``	we	feel	that	in	the	future	Fulton	County	should	receive	some	portion	of	these	available	funds	''	,	the	jurors	said	.",ADV	.	.	PRON	VERB	ADP	ADP	DET	NOUN	NOUN	NOUN	VERB	VERB	DET	NOUN	ADP	DET	ADJ	NOUN	.	.	DET	NOUN	VERB	.
``	Failure	to	do	this	will	continue	to	place	a	disproportionate	burden	''	on	Fulton	taxpayers	.,.	NOUN	PRT	VERB	DET	VERB	VERB	PRT	VERB	DET	ADJ	NOUN	.	ADP	NOUN	NOUN	.
"The	jury	also	commented	on	the	Fulton	ordinary's	court	which	has	been	under	fire	for	its	practices	in	the	appointment	of	appraisers	,	guardians	and	administrators	and	the	awarding	of	fees	and	compensation	.",DET	NOUN	ADV	VERB	ADP	DET	NOUN	NOUN	NOUN	DET	VERB	VERB	ADP	NOUN	ADP	DET	NOUN	ADP	DET	NOUN	ADP	NOUN	.	NOUN	CONJ	NOUN	CONJ	DET	NOUN	ADP	NOUN	CONJ	NOUN	.
Wards	protected,NOUN	VERB
"The	jury	said	it	found	the	court	``	has	incorporated	into	its	operating	procedures	the	recommendations	''	of	two	previous	grand	juries	,	the	Atlanta	Bar	Association	and	an	interim	citizens	committee	.",DET	NOUN	VERB	PRON	VERB	DET	NOUN	.	VERB	VERB	ADP	DET	VERB	NOUN	DET	NOUN	.	ADP	NUM	ADJ	ADJ	NOUN	.	DET	NOUN	NOUN	NOUN	CONJ	DET	NOUN	NOUN	NOUN	.
"``	These	actions	should	serve	to	protect	in	fact	and	in	effect	the	court's	wards	from	undue	costs	and	its	appointed	and	elected	servants	from	unmeritorious	criticisms	''	,	the	jury	said	.",.	DET	NOUN	VERB	VERB	PRT	VERB	ADP	NOUN	CONJ	ADP	NOUN	DET	NOUN	NOUN	ADP	ADJ	NOUN	CONJ	DET	VERB	CONJ	VERB	NOUN	ADP	ADJ	NOUN	.	.	DET	NOUN	VERB	.
"Regarding	Atlanta's	new	multi-million-dollar	airport	,	the	jury	recommended	``	that	when	the	new	management	takes	charge	Jan.	1	the	airport	be	operated	in	a	manner	that	will	eliminate	political	influences	''	.",ADP	NOUN	ADJ	ADJ	NOUN	.	DET	NOUN	VERB	.	ADP	ADV	DET	ADJ	NOUN	VERB	NOUN	NOUN	NUM	DET	NOUN	VERB	VERB	ADP	DET	NOUN	PRON	VERB	VERB	ADJ	NOUN	.	.
"The	jury	did	not	elaborate	,	but	it	added	that	``	there	should	be	periodic	surveillance	of	the	pricing	practices	of	the	concessionaires	for	the	purpose	of	keeping	the	prices	reasonable	''	.",DET	NOUN	VERB	ADV	VERB	.	CONJ	PRON	VERB	ADP	.	PRT	VERB	VERB	ADJ	NOUN	ADP	DET	VERB	NOUN	ADP	DET	NOUN	ADP	DET	NOUN	ADP	VERB	DET	NOUN	ADJ	.	.
Ask	jail	deputies,VERB	NOUN	NOUN
"On	other	matters	,	the	jury	recommended	that	:	(	1	)",ADP	ADJ	NOUN	.	DET	NOUN	VERB	ADP	.	.	NUM	.
"Four	additional	deputies	be	employed	at	the	Fulton	County	Jail	and	``	a	doctor	,	medical	intern	or	extern	be	employed	for	night	and	weekend	duty	at	the	jail	''	.",NUM	ADJ	NOUN	VERB	VERB	ADP	DET	NOUN	NOUN	NOUN	CONJ	.	DET	NOUN	.	ADJ	NOUN	CONJ	NOUN	VERB	VERB	ADP	NOUN	CONJ	NOUN	NOUN	ADP	DET	NOUN	.	.
(	2	),.	NUM	.
Fulton	legislators	``	work	with	city	officials	to	pass	enabling	legislation	that	will	permit	the	establishment	of	a	fair	and	equitable	''	pension	plan	for	city	employes	.,NOUN	NOUN	.	VERB	ADP	NOUN	NOUN	PRT	VERB	VERB	NOUN	PRON	VERB	VERB	DET	NOUN	ADP	DET	ADJ	CONJ	ADJ	.	NOUN	NOUN	ADP	NOUN	NOUN	.
"The	jury	praised	the	administration	and	operation	of	the	Atlanta	Police	Department	,	the	Fulton	Tax	Commissioner's	Office	,	the	Bellwood	and	Alpharetta	prison	farms	,	Grady	Hospital	and	the	Fulton	Health	Department	.",DET	NOUN	VERB	DET	NOUN	CONJ	NOUN	ADP	DET	NOUN	NOUN	NOUN	.	DET	NOUN	NOUN	NOUN	NOUN	.	DET	NOUN	CONJ	NOUN	NOUN	NOUN	.	NOUN	NOUN	CONJ	DET	NOUN	NOUN	NOUN	.
"Mayor	William	B.	Hartsfield	filed	suit	for	divorce	from	his	wife	,	Pearl	Williams	Hartsfield	,	in	Fulton	Superior	Court	Friday	.",NOUN	NOUN	NOUN	NOUN	VERB	NOUN	ADP	NOUN	ADP	DET	NOUN	.	NOUN	NOUN	NOUN	.	ADP	NOUN	ADJ	NOUN	NOUN	.
His	petition	charged	mental	cruelty	.,DET	NOUN	VERB	ADJ	NOUN	.
"The	couple	was	married	Aug.	2	,	1913	.",DET	NOUN	VERB	VERB	NOUN	NUM	.	NUM	.
"They	have	a	son	,	William	Berry	Jr.	,	and	a	daughter	,	Mrs.	J.	M.	Cheshire	of	Griffin	.",PRON	VERB	DET	NOUN	.	NOUN	NOUN	NOUN	.	CONJ	DET	NOUN	.	NOUN	NOUN	NOUN	NOUN	ADP	NOUN	.
Attorneys	for	the	mayor	said	that	an	amicable	property	settlement	has	been	agreed	upon	.,NOUN	ADP	DET	NOUN	VERB	ADP	DET	ADJ	NOUN	NOUN	VERB	VERB	VERB	ADV	.
The	petition	listed	the	mayor's	occupation	as	``	attorney	''	and	his	age	as	71	.,DET	NOUN	VERB	DET	NOUN	NOUN	ADP	.	NOUN	.	CONJ	DET	NOUN	ADP	NUM	.
"It	listed	his	wife's	age	as	74	and	place	of	birth	as	Opelika	,	Ala.	.",PRON	VERB	DET	NOUN	NOUN	ADP	NUM	CONJ	NOUN	ADP	NOUN	ADP	NOUN	.	NOUN	.
The	petition	said	that	the	couple	has	not	lived	together	as	man	and	wife	for	more	than	a	year	.,DET	NOUN	VERB	ADP	DET	NOUN	VERB	ADV	VERB	ADV	ADP	NOUN	CONJ	NOUN	ADP	ADJ	ADP	DET	NOUN	.
The	Hartsfield	home	is	at	637	E.	Pelham	Rd.	Aj	.,DET	NOUN	NOUN	VERB	ADP	NUM	NOUN	NOUN	NOUN	NOUN	.
Henry	L.	Bowden	was	listed	on	the	petition	as	the	mayor's	attorney	.,NOUN	NOUN	NOUN	VERB	VERB	ADP	DET	NOUN	ADP	DET	NOUN	NOUN	.
"Hartsfield	has	been	mayor	of	Atlanta	,	with	exception	of	one	brief	interlude	,	since	1937	.",NOUN	VERB	VERB	NOUN	ADP	NOUN	.	ADP	NOUN	ADP	NUM	ADJ	NOUN	.	ADP	NUM	.
His	political	career	goes	back	to	his	election	to	city	council	in	1923	.,DET	ADJ	NOUN	VERB	ADV	ADP	DET	NOUN	ADP	NOUN	NOUN	ADP	NUM	.
The	mayor's	present	term	of	office	expires	Jan.	1	.,DET	NOUN	ADJ	NOUN	ADP	NOUN	VERB	NOUN	NUM	.
"He	will	be	succeeded	by	Ivan	Allen	Jr.	,	who	became	a	candidate	in	the	Sept.	13	primary	after	Mayor	Hartsfield	announced	that	he	would	not	run	for	reelection	.",PRON	VERB	VERB	VERB	ADP	NOUN	NOUN	NOUN	.	PRON	VERB	DET	NOUN	ADP	DET	NOUN	NUM	NOUN	ADP	NOUN	NOUN	VERB	ADP	PRON	VERB	ADV	VERB	ADP	NOUN	.
"Georgia	Republicans	are	getting	strong	encouragement	to	enter	a	candidate	in	the	1962	governor's	race	,	a	top	official	said	Wednesday	.",NOUN	NOUN	VERB	VERB	ADJ	NOUN	PRT	VERB	DET	NOUN	ADP	DET	NUM	NOUN	NOUN	.	DET	ADJ	NOUN	VERB	NOUN	.
"Robert	Snodgrass	,	state	GOP	chairman	,	said	a	meeting	held	Tuesday	night	in	Blue	Ridge	brought	enthusiastic	responses	from	the	audience	.",NOUN	NOUN	.	NOUN	NOUN	NOUN	.	VERB	DET	NOUN	VERB	NOUN	NOUN	ADP	ADJ	NOUN	VERB	ADJ	NOUN	ADP	DET	NOUN	.
State	Party	Chairman	James	W.	Dorsey	added	that	enthusiasm	was	picking	up	for	a	state	rally	to	be	held	Sept.	8	in	Savannah	at	which	newly	elected	Texas	Sen.	John	Tower	will	be	the	featured	speaker	.,NOUN	NOUN	NOUN	NOUN	NOUN	NOUN	VERB	ADP	NOUN	VERB	VERB	PRT	ADP	DET	NOUN	NOUN	PRT	VERB	VERB	NOUN	NUM	ADP	NOUN	ADP	DET	ADV	VERB	NOUN	NOUN	NOUN	NOUN	VERB	VERB	DET	VERB	NOUN	.
"In	the	Blue	Ridge	meeting	,	the	audience	was	warned	that	entering	a	candidate	for	governor	would	force	it	to	take	petitions	out	into	voting	precincts	to	obtain	the	signatures	of	registered	voters	.",ADP	DET	ADJ	NOUN	NOUN	.	DET	NOUN	VERB	VERB	ADP	VERB	DET	NOUN	ADP	NOUN	VERB	VERB	PRON	PRT	VERB	NOUN	PRT	ADP	VERB	NOUN	PRT	VERB	DET	NOUN	ADP	VERB	NOUN	.
"Despite	the	warning	,	there	was	a	unanimous	vote	to	enter	a	candidate	,	according	to	Republicans	who	attended	.",ADP	DET	VERB	.	PRT	VERB	DET	ADJ	NOUN	PRT	VERB	DET	NOUN	.	ADP	ADP	NOUN	PRON	VERB	.
"When	the	crowd	was	asked	whether	it	wanted	to	wait	one	more	term	to	make	the	race	,	it	voted	no	--	and	there	were	no	dissents	.",ADV	DET	NOUN	VERB	VERB	ADP	PRON	VERB	PRT	VERB	NUM	ADJ	NOUN	PRT	VERB	DET	NOUN	.	PRON	VERB	ADV	.	CONJ	PRT	VERB	DET	NOUN	.
"The	largest	hurdle	the	Republicans	would	have	to	face	is	a	state	law	which	says	that	before	making	a	first	race	,	one	of	two	alternative	courses	must	be	taken	:	1",DET	ADJ	NOUN	DET	NOUN	VERB	VERB	PRT	VERB	VERB	DET	NOUN	NOUN	DET	VERB	ADP	ADP	VERB	DET	ADJ	NOUN	.	NUM	ADP	NUM	ADJ	NOUN	VERB	VERB	VERB	.	NUM
"Five	per	cent	of	the	voters	in	each	county	must	sign	petitions	requesting	that	the	Republicans	be	allowed	to	place	names	of	candidates	on	the	general	election	ballot	,	or	2",NUM	ADP	NOUN	ADP	DET	NOUN	ADP	DET	NOUN	VERB	VERB	NOUN	VERB	ADP	DET	NOUN	VERB	VERB	PRT	VERB	NOUN	ADP	NOUN	ADP	DET	ADJ	NOUN	NOUN	.	CONJ	NUM
The	Republicans	must	hold	a	primary	under	the	county	unit	system	--	a	system	which	the	party	opposes	in	its	platform	.,DET	NOUN	VERB	VERB	DET	NOUN	ADP	DET	NOUN	NOUN	NOUN	.	DET	NOUN	DET	DET	NOUN	VERB	ADP	DET	NOUN	.
"Sam	Caldwell	,	State	Highway	Department	public	relations	director	,	resigned	Tuesday	to	work	for	Lt.	Gov.	Garland	Byrd's	campaign	.",NOUN	NOUN	.	NOUN	NOUN	NOUN	ADJ	NOUN	NOUN	.	VERB	NOUN	PRT	VERB	ADP	NOUN	NOUN	NOUN	NOUN	NOUN	.
Caldwell's	resignation	had	been	expected	for	some	time	.,NOUN	NOUN	VERB	VERB	VERB	ADP	DET	NOUN	.
"He	will	be	succeeded	by	Rob	Ledford	of	Gainesville	,	who	has	been	an	assistant	more	than	three	years	.",PRON	VERB	VERB	VERB	ADP	NOUN	NOUN	ADP	NOUN	.	PRON	VERB	VERB	DET	NOUN	ADJ	ADP	NUM	NOUN	.
"When	the	gubernatorial	campaign	starts	,	Caldwell	is	expected	to	become	a	campaign	coordinator	for	Byrd	.",ADV	DET	ADJ	NOUN	VERB	.	NOUN	VERB	VERB	PRT	VERB	DET	NOUN	NOUN	ADP	NOUN	.
The	Georgia	Legislature	will	wind	up	its	1961	session	Monday	and	head	for	home	--	where	some	of	the	highway	bond	money	it	approved	will	follow	shortly	.,DET	NOUN	NOUN	VERB	VERB	PRT	DET	NUM	NOUN	NOUN	CONJ	VERB	ADP	NOUN	.	ADV	DET	ADP	DET	NOUN	NOUN	NOUN	PRON	VERB	VERB	VERB	ADV	.
"Before	adjournment	Monday	afternoon	,	the	Senate	is	expected	to	approve	a	study	of	the	number	of	legislators	allotted	to	rural	and	urban	areas	to	determine	what	adjustments	should	be	made	.",ADP	NOUN	NOUN	NOUN	.	DET	NOUN	VERB	VERB	PRT	VERB	DET	NOUN	ADP	DET	NOUN	ADP	NOUN	VERB	ADP	ADJ	CONJ	ADJ	NOUN	PRT	VERB	DET	NOUN	VERB	VERB	VERB	.
Gov.	Vandiver	is	expected	to	make	the	traditional	visit	to	both	chambers	as	they	work	toward	adjournment	.,NOUN	NOUN	VERB	VERB	PRT	VERB	DET	ADJ	NOUN	ADP	DET	NOUN	ADP	PRON	VERB	ADP	NOUN	.
Vandiver	likely	will	mention	the	$100	million	highway	bond	issue	approved	earlier	in	the	session	as	his	first	priority	item	.,NOUN	ADV	VERB	VERB	DET	NOUN	NUM	NOUN	NOUN	NOUN	VERB	ADV	ADP	DET	NOUN	ADP	DET	ADJ	NOUN	NOUN	.
Construction	bonds,NOUN	NOUN
"Meanwhile	,	it	was	learned	the	State	Highway	Department	is	very	near	being	ready	to	issue	the	first	$30	million	worth	of	highway	reconstruction	bonds	.",ADV	.	PRON	VERB	VERB	DET	NOUN	NOUN	NOUN	VERB	ADV	ADV	VERB	ADJ	PRT	VERB	DET	ADJ	NOUN	NUM	NOUN	ADP	NOUN	NOUN	NOUN	.
"The	bond	issue	will	go	to	the	state	courts	for	a	friendly	test	suit	to	test	the	validity	of	the	act	,	and	then	the	sales	will	begin	and	contracts	let	for	repair	work	on	some	of	Georgia's	most	heavily	traveled	highways	.",DET	NOUN	NOUN	VERB	VERB	ADP	DET	NOUN	NOUN	ADP	DET	ADJ	NOUN	NOUN	PRT	VERB	DET	NOUN	ADP	DET	NOUN	.	CONJ	ADV	DET	NOUN	VERB	VERB	CONJ	NOUN	VERB	ADP	NOUN	NOUN	ADP	DET	ADP	NOUN	ADV	ADV	VERB	NOUN	.
A	Highway	Department	source	said	there	also	is	a	plan	there	to	issue	some	$3	million	to	$4	million	worth	of	Rural	Roads	Authority	bonds	for	rural	road	construction	work	.,DET	NOUN	NOUN	NOUN	VERB	PRT	ADV	VERB	DET	NOUN	ADV	PRT	VERB	DET	NOUN	NUM	ADP	NOUN	NUM	NOUN	ADP	ADJ	NOUN	NOUN	NOUN	ADP	ADJ	NOUN	NOUN	NOUN	.
A	revolving	fund,DET	VERB	NOUN
The	department	apparently	intends	to	make	the	Rural	Roads	Authority	a	revolving	fund	under	which	new	bonds	would	be	issued	every	time	a	portion	of	the	old	ones	are	paid	off	by	tax	authorities	.,DET	NOUN	ADV	VERB	PRT	VERB	DET	ADJ	NOUN	NOUN	DET	VERB	NOUN	ADP	DET	ADJ	NOUN	VERB	VERB	VERB	DET	NOUN	DET	NOUN	ADP	DET	ADJ	NOUN	VERB	VERB	PRT	ADP	NOUN	NOUN	.
Vandiver	opened	his	race	for	governor	in	1958	with	a	battle	in	the	Legislature	against	the	issuance	of	$50	million	worth	of	additional	rural	roads	bonds	proposed	by	then	Gov.	Marvin	Griffin	.,NOUN	VERB	DET	NOUN	ADP	NOUN	ADP	NUM	ADP	DET	NOUN	ADP	DET	NOUN	ADP	DET	NOUN	ADP	NOUN	NUM	NOUN	ADP	ADJ	ADJ	NOUN	NOUN	VERB	ADP	ADV	NOUN	NOUN	NOUN	.
"The	Highway	Department	source	told	The	Constitution	,	however	,	that	Vandiver	has	not	been	consulted	yet	about	the	plans	to	issue	the	new	rural	roads	bonds	.",DET	NOUN	NOUN	NOUN	VERB	DET	NOUN	.	ADV	.	ADP	NOUN	VERB	ADV	VERB	VERB	ADV	ADP	DET	NOUN	PRT	VERB	DET	ADJ	ADJ	NOUN	NOUN	.
Schley	County	Rep.	B.	D.	Pelham	will	offer	a	resolution	Monday	in	the	House	to	rescind	the	body's	action	of	Friday	in	voting	itself	a	$10	per	day	increase	in	expense	allowances	.,NOUN	NOUN	NOUN	NOUN	NOUN	NOUN	VERB	VERB	DET	NOUN	NOUN	ADP	DET	NOUN	PRT	VERB	DET	NOUN	NOUN	ADP	NOUN	ADP	VERB	PRON	DET	NOUN	ADP	NOUN	NOUN	ADP	NOUN	NOUN	.
Pelham	said	Sunday	night	there	was	research	being	done	on	whether	the	``	quickie	''	vote	on	the	increase	can	be	repealed	outright	or	whether	notice	would	have	to	first	be	given	that	reconsideration	of	the	action	would	be	sought	.,NOUN	VERB	NOUN	NOUN	PRT	VERB	NOUN	VERB	VERB	ADP	ADP	DET	.	NOUN	.	NOUN	ADP	DET	NOUN	VERB	VERB	VERB	ADV	CONJ	ADP	NOUN	VERB	VERB	PRT	ADV	VERB	VERB	ADP	NOUN	ADP	DET	NOUN	VERB	VERB	VERB	.
"While	emphasizing	that	technical	details	were	not	fully	worked	out	,	Pelham	said	his	resolution	would	seek	to	set	aside	the	privilege	resolution	which	the	House	voted	through	87-31	.",ADP	VERB	ADP	ADJ	NOUN	VERB	ADV	ADV	VERB	PRT	.	NOUN	VERB	DET	NOUN	VERB	VERB	PRT	VERB	ADV	DET	NOUN	NOUN	DET	DET	NOUN	VERB	ADP	NUM	.
A	similar	resolution	passed	in	the	Senate	by	a	vote	of	29-5	.,DET	ADJ	NOUN	VERB	ADP	DET	NOUN	ADP	DET	NOUN	ADP	NUM	.
"As	of	Sunday	night	,	there	was	no	word	of	a	resolution	being	offered	there	to	rescind	the	action	.",ADP	ADP	NOUN	NOUN	.	PRT	VERB	DET	NOUN	ADP	DET	NOUN	VERB	VERB	ADV	PRT	VERB	DET	NOUN	.
Pelham	pointed	out	that	Georgia	voters	last	November	rejected	a	constitutional	amendment	to	allow	legislators	to	vote	on	pay	raises	for	future	Legislature	sessions	.,NOUN	VERB	PRT	ADP	NOUN	NOUN	ADJ	NOUN	VERB	DET	ADJ	NOUN	PRT	VERB	NOUN	PRT	VERB	ADP	NOUN	NOUN	ADP	ADJ	NOUN	NOUN	.
"A	veteran	Jackson	County	legislator	will	ask	the	Georgia	House	Monday	to	back	federal	aid	to	education	,	something	it	has	consistently	opposed	in	the	past	.",DET	ADJ	NOUN	NOUN	NOUN	VERB	VERB	DET	NOUN	NOUN	NOUN	PRT	VERB	ADJ	NOUN	ADP	NOUN	.	NOUN	PRON	VERB	ADV	VERB	ADP	DET	NOUN	.
"Rep.	Mac	Barber	of	Commerce	is	asking	the	House	in	a	privilege	resolution	to	``	endorse	increased	federal	support	for	public	education	,	provided	that	such	funds	be	received	and	expended	''	as	state	funds	.",NOUN	NOUN	NOUN	ADP	NOUN	VERB	VERB	DET	NOUN	ADP	DET	NOUN	NOUN	PRT	.	VERB	VERB	ADJ	NOUN	ADP	ADJ	NOUN	.	VERB	ADP	ADJ	NOUN	VERB	VERB	CONJ	VERB	.	ADP	NOUN	NOUN	.
"Barber	,	who	is	in	his	13th	year	as	a	legislator	,	said	there	``	are	some	members	of	our	congressional	delegation	in	Washington	who	would	like	to	see	it	(	the	resolution	)	passed	''	.",NOUN	.	PRON	VERB	ADP	DET	ADJ	NOUN	ADP	DET	NOUN	.	VERB	PRT	.	VERB	DET	NOUN	ADP	DET	ADJ	NOUN	ADP	NOUN	PRON	VERB	VERB	PRT	VERB	PRON	.	DET	NOUN	.	VERB	.	.
But	he	added	that	none	of	Georgia's	congressmen	specifically	asked	him	to	offer	the	resolution	.,CONJ	PRON	VERB	ADP	NOUN	ADP	NOUN	NOUN	ADV	VERB	PRON	PRT	VERB	DET	NOUN	.
"The	resolution	,	which	Barber	tossed	into	the	House	hopper	Friday	,	will	be	formally	read	Monday	.",DET	NOUN	.	DET	NOUN	VERB	ADP	DET	NOUN	NOUN	NOUN	.	VERB	VERB	ADV	VERB	NOUN	.
"It	says	that	``	in	the	event	Congress	does	provide	this	increase	in	federal	funds	''	,	the	State	Board	of	Education	should	be	directed	to	``	give	priority	''	to	teacher	pay	raises	.",PRON	VERB	ADP	.	ADP	DET	NOUN	NOUN	VERB	VERB	DET	NOUN	ADP	ADJ	NOUN	.	.	DET	NOUN	NOUN	ADP	NOUN	VERB	VERB	VERB	PRT	.	VERB	NOUN	.	ADP	NOUN	NOUN	NOUN	.
Colquitt,NOUN
"--	After	a	long	,	hot	controversy	,	Miller	County	has	a	new	school	superintendent	,	elected	,	as	a	policeman	put	it	,	in	the	``	coolest	election	I	ever	saw	in	this	county	''	.",.	ADP	DET	ADJ	.	ADJ	NOUN	.	NOUN	NOUN	VERB	DET	ADJ	NOUN	NOUN	.	VERB	.	ADP	DET	NOUN	VERB	PRON	.	ADP	DET	.	ADJ	NOUN	PRON	ADV	VERB	ADP	DET	NOUN	.	.
"The	new	school	superintendent	is	Harry	Davis	,	a	veteran	agriculture	teacher	,	who	defeated	Felix	Bush	,	a	school	principal	and	chairman	of	the	Miller	County	Democratic	Executive	Committee	.",DET	ADJ	NOUN	NOUN	VERB	NOUN	NOUN	.	DET	ADJ	NOUN	NOUN	.	PRON	VERB	NOUN	NOUN	.	DET	NOUN	NOUN	CONJ	NOUN	ADP	DET	NOUN	NOUN	ADJ	ADJ	NOUN	.
"Davis	received	1,119	votes	in	Saturday's	election	,	and	Bush	got	402	.",NOUN	VERB	NUM	NOUN	ADP	NOUN	NOUN	.	CONJ	NOUN	VERB	NUM	.
"Ordinary	Carey	Williams	,	armed	with	a	pistol	,	stood	by	at	the	polls	to	insure	order	.",NOUN	NOUN	NOUN	.	VERB	ADP	DET	NOUN	.	VERB	ADP	ADP	DET	NOUN	PRT	VERB	NOUN	.
"``	This	was	the	coolest	,	calmest	election	I	ever	saw	''	,	Colquitt	Policeman	Tom	Williams	said	.",.	DET	VERB	DET	ADJ	.	ADJ	NOUN	PRON	ADV	VERB	.	.	NOUN	NOUN	NOUN	NOUN	VERB	.
